ensembl_transcript_id	external_gene_name
ENST00000832297	
ENST00000832298	
ENST00000832299	
ENST00000832300	
ENST00000832301	
ENST00000832302	
ENST00000832303	
ENST00000832304	
ENST00000832305	
ENST00000832306	
ENST00000832307	
ENST00000832308	
ENST00000832309	
ENST00000832310	
ENST00000832311	
ENST00000832312	
ENST00000832313	
ENST00000832314	
ENST00000832315	
ENST00000832316	
ENST00000832317	
ENST00000832318	
ENST00000832319	
ENST00000832320	
ENST00000832321	
ENST00000832322	
ENST00000832323	
ENST00000832324	
ENST00000832325	
ENST00000832326	
ENST00000832327	
ENST00000832328	
ENST00000832329	
ENST00000832330	
ENST00000612848	
ENST00000820642	
ENST00000612925	U1
ENST00000820894	
ENST00000820895	
ENST00000612801	
ENST00000795701	
ENST00000795702	
ENST00000795703	
ENST00000795704	
ENST00000795705	
ENST00000795706	
ENST00000795707	
ENST00000795708	
ENST00000795709	
ENST00000795710	
ENST00000795711	
ENST00000721626	
ENST00000721627	
ENST00000721628	
ENST00000721629	
ENST00000721630	
ENST00000721631	
ENST00000721632	
ENST00000721633	
ENST00000721634	
ENST00000721635	
ENST00000721636	
ENST00000721637	
ENST00000721638	
ENST00000721639	
ENST00000721640	
ENST00000721641	
ENST00000721642	
ENST00000721643	
ENST00000721644	
ENST00000721645	
ENST00000721646	
ENST00000721647	
ENST00000721648	
ENST00000721649	
ENST00000721650	
ENST00000721651	
ENST00000721652	
ENST00000836772	
ENST00000840158	
ENST00000840159	
ENST00000840160	
ENST00000718756	
ENST00000718757	
ENST00000759802	
ENST00000840362	
ENST00000840363	
ENST00000840364	
ENST00000620032	Y_RNA
ENST00000789624	
ENST00000840514	
ENST00000840515	
ENST00000783549	
ENST00000783550	
ENST00000783551	
ENST00000783552	
ENST00000817670	
ENST00000817671	
ENST00000817672	
ENST00000817673	
ENST00000817674	
ENST00000817675	
ENST00000817676	
ENST00000817677	
ENST00000817678	
ENST00000817679	
ENST00000817680	
ENST00000817681	
ENST00000817682	
ENST00000817683	
ENST00000817684	
ENST00000817685	
ENST00000817686	
ENST00000817687	
ENST00000817688	
ENST00000817689	
ENST00000817690	
ENST00000817691	
ENST00000817692	
ENST00000817693	
ENST00000817694	
ENST00000817695	
ENST00000817696	
ENST00000817697	
ENST00000817698	
ENST00000817699	
ENST00000817700	
ENST00000817701	
ENST00000817702	
ENST00000817703	
ENST00000817704	
ENST00000817705	
ENST00000817706	
ENST00000817707	
ENST00000817708	
ENST00000817709	
ENST00000817710	
ENST00000817711	
ENST00000817712	
ENST00000817713	
ENST00000817714	
ENST00000817715	
ENST00000817716	
ENST00000817717	
ENST00000817718	
ENST00000817719	
ENST00000817720	
ENST00000817721	
ENST00000817722	
ENST00000817723	
ENST00000817724	
ENST00000817725	
ENST00000817726	
ENST00000817727	
ENST00000817728	
ENST00000817729	
ENST00000817730	
ENST00000817731	
ENST00000817732	
ENST00000817733	
ENST00000817734	
ENST00000817735	
ENST00000817736	
ENST00000817737	
ENST00000817738	
ENST00000817739	
ENST00000817740	
ENST00000817741	
ENST00000817742	
ENST00000817743	
ENST00000817744	
ENST00000817745	
ENST00000817746	
ENST00000817747	
ENST00000817748	
ENST00000817749	
ENST00000817750	
ENST00000817751	
ENST00000817752	
ENST00000817753	
ENST00000817754	
ENST00000817755	
ENST00000817756	
ENST00000817757	
ENST00000817758	
ENST00000817759	
ENST00000817760	
ENST00000817761	
ENST00000817762	
ENST00000817763	
ENST00000817764	
ENST00000817765	
ENST00000817766	
ENST00000817767	
ENST00000817768	
ENST00000817769	
ENST00000817770	
ENST00000817771	
ENST00000817772	
ENST00000817773	
ENST00000817774	
ENST00000817775	
ENST00000817776	
ENST00000817777	
ENST00000817778	
ENST00000817779	
ENST00000817780	
ENST00000817781	
ENST00000817782	
ENST00000817783	
ENST00000817784	
ENST00000817785	
ENST00000817786	
ENST00000817787	
ENST00000817788	
ENST00000817789	
ENST00000817790	
ENST00000817791	
ENST00000817792	
ENST00000817793	
ENST00000817794	
ENST00000817795	
ENST00000817796	
ENST00000817797	
ENST00000817798	
ENST00000817799	
ENST00000817800	
ENST00000817801	
ENST00000817802	
ENST00000817803	
ENST00000817804	
ENST00000817805	
ENST00000817806	
ENST00000817807	
ENST00000817808	
ENST00000817809	
ENST00000817810	
ENST00000817811	
ENST00000817812	
ENST00000817813	
ENST00000817814	
ENST00000817815	
ENST00000817816	
ENST00000817817	
ENST00000817818	
ENST00000817819	
ENST00000817820	
ENST00000817821	
ENST00000817822	
ENST00000817823	
ENST00000817824	
ENST00000817825	
ENST00000817826	
ENST00000817827	
ENST00000817828	
ENST00000817829	
ENST00000817830	
ENST00000817831	
ENST00000817832	
ENST00000817833	
ENST00000817834	
ENST00000817835	
ENST00000817836	
ENST00000817837	
ENST00000817838	
ENST00000817839	
ENST00000817840	
ENST00000817841	
ENST00000817842	
ENST00000817843	
ENST00000817844	
ENST00000817845	
ENST00000817846	
ENST00000817847	
ENST00000817848	
ENST00000817849	
ENST00000817850	
ENST00000817851	
ENST00000817852	
ENST00000817853	
ENST00000817854	
ENST00000817855	
ENST00000817856	
ENST00000817857	
ENST00000817858	
ENST00000817859	
ENST00000817860	
ENST00000817861	
ENST00000817862	
ENST00000817863	
ENST00000817864	
ENST00000817865	
ENST00000817866	
ENST00000817867	
ENST00000817868	
ENST00000817869	
ENST00000817870	
ENST00000817871	
ENST00000817872	
ENST00000817873	
ENST00000817874	
ENST00000817875	
ENST00000817876	
ENST00000817877	
ENST00000817878	
ENST00000817879	
ENST00000817880	
ENST00000817881	
ENST00000817882	
ENST00000817883	
ENST00000817884	
ENST00000817885	
ENST00000817886	
ENST00000817887	
ENST00000817888	
ENST00000817889	
ENST00000817890	
ENST00000817891	
ENST00000817892	
ENST00000817893	
ENST00000817894	
ENST00000817895	
ENST00000817896	
ENST00000817897	
ENST00000817898	
ENST00000817899	
ENST00000817900	
ENST00000817901	
ENST00000817902	
ENST00000817903	
ENST00000817904	
ENST00000817905	
ENST00000817906	
ENST00000817907	
ENST00000817908	
ENST00000817909	
ENST00000817910	
ENST00000817911	
ENST00000817912	
ENST00000817913	
ENST00000817914	
ENST00000817915	
ENST00000817916	
ENST00000817917	
ENST00000817918	
ENST00000817919	
ENST00000817920	
ENST00000817921	
ENST00000817922	
ENST00000817923	
ENST00000817924	
ENST00000817925	
ENST00000817926	
ENST00000817927	
ENST00000817928	
ENST00000817929	
ENST00000817930	
ENST00000817931	
ENST00000817932	
ENST00000817933	
ENST00000817934	
ENST00000817935	
ENST00000817936	
ENST00000817937	
ENST00000817938	
ENST00000817939	
ENST00000817940	
ENST00000817941	
ENST00000817942	
ENST00000817943	
ENST00000817944	
ENST00000817945	
ENST00000817946	
ENST00000817947	
ENST00000817948	
ENST00000817949	
ENST00000817950	
ENST00000817951	
ENST00000817952	
ENST00000817953	
ENST00000817954	
ENST00000817955	
ENST00000817956	
ENST00000817957	
ENST00000817958	
ENST00000817959	
ENST00000817960	
ENST00000817961	
ENST00000817962	
ENST00000817963	
ENST00000817964	
ENST00000817965	
ENST00000817966	
ENST00000817967	
ENST00000817968	
ENST00000817969	
ENST00000817970	
ENST00000817971	
ENST00000817972	
ENST00000817973	
ENST00000817974	
ENST00000817975	
ENST00000817976	
ENST00000817977	
ENST00000817978	
ENST00000817979	
ENST00000817980	
ENST00000817981	
ENST00000817982	
ENST00000817983	
ENST00000817984	
ENST00000817985	
ENST00000817986	
ENST00000817987	
ENST00000817988	
ENST00000817989	
ENST00000817990	
ENST00000817991	
ENST00000817992	
ENST00000817993	
ENST00000817994	
ENST00000817995	
ENST00000817996	
ENST00000817997	
ENST00000817998	
ENST00000817999	
ENST00000818000	
ENST00000818001	
ENST00000818002	
ENST00000818003	
ENST00000818004	
ENST00000818005	
ENST00000818006	
ENST00000818007	
ENST00000818008	
ENST00000818009	
ENST00000818010	
ENST00000818011	
ENST00000818012	
ENST00000818013	
ENST00000818014	
ENST00000818015	
ENST00000818016	
ENST00000818017	
ENST00000818018	
ENST00000818019	
ENST00000818020	
ENST00000818021	
ENST00000818022	
ENST00000818023	
ENST00000818024	
ENST00000818025	
ENST00000818026	
ENST00000818027	
ENST00000818028	
ENST00000818029	
ENST00000818030	
ENST00000818031	
ENST00000818032	
ENST00000818033	
ENST00000818034	
ENST00000818035	
ENST00000818036	
ENST00000818037	
ENST00000818038	
ENST00000818039	
ENST00000818040	
ENST00000818041	
ENST00000818042	
ENST00000818043	
ENST00000818044	
